,title,originallink,link,description,pubDate,bloggername,bloggerlink,postdate
70,"<b>조폐공사</b>, 코로나에 영업손익 적자... 비상경영 체제 돌입",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=589244,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=589244," <b>한국조폐공사</b>가 비상경영 체제에 돌입했다. 반장식 사장은 8일 대전 본사에서 경영전략회의를 열고 코로나19 장기화에 따른 여권 발급 급감 등 경영 여건 악화가 지속되고 있으며, 창립 70주년을 맞아 미래 성장동력... ","Mon, 08 Mar 2021 15:15:00 +0900",,,
71,"<b>조폐공사</b>, 정부'혁신·협업·시민참여 우수과제 평가'서 혁신부문'우수'획득",http://www.gukjenews.com/news/articleView.html?idxno=2176953,http://www.gukjenews.com/news/articleView.html?idxno=2176953, <b>한국조폐공사</b>(사장 반장식)는 기획재정부 주관 '2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가'에서 혁신 부문 우수과제로 선정됐다고 9일 밝혔다. 선정된 과제는 '발달장애 디자이너와 함께 하는 신규... ,"Tue, 09 Mar 2021 11:50:00 +0900",,,
72,"<b>조폐공사</b>, 정부 혁신·협업·시민참여 우수과제 평가서 혁신부문 ‘우수’",http://www.viva100.com/main/view.php?key=20210309010002532,http://www.viva100.com/main/view.php?key=20210309010002532,"<b>조폐공사</b>, 정부 혁신·협업·시민참여 우수과제 평가서 혁신부문 ‘우수’ <b>한국조폐공사</b>는 기획재정부 주관 ‘2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가’에서 혁신 부문 우수과제로 선정됐다고 9일 밝혔다.... ","Tue, 09 Mar 2021 18:02:00 +0900",,,
73,"<b>한국조폐공사</b>, 비상경영체제 선언",http://www.newscj.com/news/articleView.html?idxno=836111,http://www.newscj.com/news/articleView.html?idxno=836111,"<b>한국조폐공사</b>(사장 반장식)가 비상경영 체제에 돌입했다고 8일 밝혔다. 반장식 사장은 이날 대전 본사에서 경영전략회의를 열고 코로나19 장기화에 따른 여권 발급 급감 등 경영여건 악화가 지속되고 있으며, 창립... ","Mon, 08 Mar 2021 22:51:00 +0900",,,
74,"<b>조폐공사</b>, 정부 ‘혁신·협업·시민참여 우수과제 평가’서 혁신부문 우수 획...",http://www.lawissue.co.kr/view.php?ud=202103092224237936f4ab64559d_12,http://www.lawissue.co.kr/view.php?ud=202103092224237936f4ab64559d_12,<b>한국조폐공사</b>는 기획재정부 주관 ‘2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가’에서 혁신 부문 우수과제로 선정됐다고 9일 밝혔다. 선정된 과제는 ‘발달장애 디자이너와 함께 하는 신규 사업으로... ,"Tue, 09 Mar 2021 22:27:00 +0900",,,
75,"<b>조폐공사</b> 신사업도 한계 보여 위기, 반장식 성장동력 마련 발등에 불",http://www.businesspost.co.kr/BP?command=article_view&num=221280,http://www.businesspost.co.kr/BP?command=article_view&num=221280,"반장식 <b>한국조폐공사</b> 사장이 위기에 놓인 <b>조폐공사</b>를 구하기 위한 새 성장동력 찾기에 나섰다. <b>조폐공사</b>는 그동안 화폐제조 감소에 따른 실적 악화를 여권 발급, 메달 판매, 모바일 지역상품권 발행 등으로 방어해... ","Thu, 11 Mar 2021 18:54:00 +0900",,,
76,"<b>조폐공사</b>, 정부 ‘혁신·협업·시민참여 우수과제 평가’서 ‘우수’ 획득",http://www.busan.com/view/busan/view.php?code=2021031005434775916,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001073590,"<b>한국조폐공사</b>가 기획재정부 주관 ‘2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가’에서 혁신 부문 우수 과제로 선정됐다. 수상 과제는 ‘발달장애 디자이너와 함께 하는 신규 사업으로, 사회적 가치 실현’... ","Wed, 10 Mar 2021 05:57:00 +0900",,,
77,위기 극복 대책 회의 주재하는 반장식 <b>조폐공사</b> 사장,http://yna.kr/PYH20210308065800063?did=1196m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0012245920,반장식 <b>조폐공사</b> 사장(가운데)이 8일 대전 본사에서 열린 위기 극복 특별 대책 경영전략 회의를 주재하고 있다. 2021.3.8 [<b>한국조폐공사</b> 제공. 재판매 및 DB 금지],"Mon, 08 Mar 2021 11:33:00 +0900",,,
78,"<b>조폐공사</b>, 비상경영체제 선언…6개 TF 가동",https://www.ekn.kr/web/view.php?key=20210308010001403,https://www.ekn.kr/web/view.php?key=20210308010001403,<b>한국조폐공사</b>가 비상경영 체제에 돌입했다. 반장식 <b>조폐공사</b> 사장은 8일 대전 본사에서 경영전략회의를 열고 신종 코로나바이러스 감염증(코로나19) 장기화에 따른 여권 발급 급감 등 경영여건 악화가 지속되고 있으며... ,"Mon, 08 Mar 2021 10:50:00 +0900",,,
79,"<b>조폐공사</b>, 정부 우수과제평가 혁신부문 '우수'",http://www.cctimes.kr/news/articleView.html?idxno=648772,http://www.cctimes.kr/news/articleView.html?idxno=648772,"<b>한국조폐공사</b>가 기획재정부 주관 공공기관 혁신·협업·시민참여 우수 과제 평가에서 혁신부문 우수과제로 선정됐다. 선정된 과제는 `발달장애 디자이너와 함께 하는 신규 사업으로 사회적 가치 실현' 으로, 발달장애인의... ","Tue, 09 Mar 2021 20:38:00 +0900",,,
