word	score
예산집행	6.988532190764562e-07
파렛트랙	4.787385862989271e-06
수사팀장	6.051444794777668e-07
농협은행	5.249948640610324e-06
방지기술	1.4923366853974074e-06
선덕여왕	8.507715090547644e-07
무사안일	3.5745814443653226e-07
자산운용	8.069707274068872e-07
자본시장	6.65493133978826e-07
자기계발	1.6074899899710807e-07
생활안전	3.316621958689474e-07
생년월일	1.014865154299836e-06
청년취업	1.1784334431973588e-06
동국제강	1.0053510312277468e-05
사단법인	5.660840604192651e-07
오만원권	3.3864455788724103e-06
범죄행위	2.334260452900353e-07
중도해지	3.923321097474134e-06
소환조사	1.8022366127908515e-06
동아일보	9.48340678731681e-07
일련번호	7.89460941649914e-07
고객관리	1.2216923923780215e-06
압수수색	2.934033839892203e-07
특별조사	1.504806985576209e-07
사모펀드	2.689902424689624e-07
집단살해	8.071056949143979e-08
금융회사	4.414873418549132e-07
기념우표	3.61548321572324e-06
아이디어	1.96343728873182e-06
홈페이지	6.759149621998451e-06
상임감사	7.516643224132686e-07
위조방지	3.5344160003701072e-06
임시정부	1.0321080566280784e-06
실시설계	5.732955151324435e-07
건축설계	2.453946071646675e-07
건축학회	2.453946071646675e-07
음악분수	1.0723744333095966e-05
할아버지	2.924657545389809e-06
키이스트	2.102694967273719e-06
빅데이터	9.923365808098342e-06
위조지폐	4.856460490710175e-06
자원봉사	8.632307894682848e-06
qr코드	4.731063676365868e-06
선박펀드	1.479446333579293e-06
영리업무	9.414658486413682e-07
아프리카	1.3962530559983782e-06
천연비누	3.784850941092694e-06
웹사이트	2.120629266995279e-06
제지본부	2.3482651824297737e-06
경고조치	7.516643224132686e-07
예약접수	3.535917295075901e-06
주민센터	5.222602759624659e-06
다기세트	9.546359940441514e-07
울음소리	1.4448158532614324e-06
초콜릿바	7.71492398064458e-07
구성요소	1.2897989683589588e-06
시행착오	1.1023382692562095e-06
외교관계	5.95763574060887e-07
인사적체	4.286639973256216e-07
네트워크	6.462350945992207e-07
택시기사	4.422162611585966e-07
오일샌드	4.468226805456652e-06
삼성전자	1.0213089841043778e-06
아침식사	3.1789755928150095e-06
화니보니	2.4938940309525505e-06
수입규제	7.328299088676059e-07
